Spanish,English
de,of
que,that
no,no
a,to
la,the
el,the
y,and
es,is
en,in
lo,it
un,a
por,for
que,what
me,I
una,one
los,the
se,I know
te,tea
con,with
para,for
esta,he/she/it is
mi,me
pero,but
si,Yeah
si,if
bien,all right
eso,that
su,his
las,the
yo,I
del,of
como,What
aqui,here
tu,you
al,to the
mas,more
le,you
esto,this
todo,everything
ya,Already
estoy,am
ahora,now
muy,very
ha,ha
esta,this
asi,So
vamos,come on
algo,something
hay,there are
bueno,well
tengo,I have
el,he
cuando,when
estas,you are
se,i know
tu,your
nos,us
nada,nothing
cómo,What
este,this
o,either
he,He
ser,to be
tiene,have
puedo,may l
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,was
soy,am
sólo,only
todos,everyone
porque,why
son,They are
tienes,have
creo,believe
voy,I go
sabes,You know
estaba,was
puede,may
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,TRUE
casa,house
tan,so
quien,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,goes
oh,Oh
favor,favor
mucho,much
mi,my
quieres,you want
siento,I feel
se(ny)or,mister
mejor,better
hace,does
has,you have
decir,say
tambien,too
sobre,upon
dios,God
sin,without
tenemos,we have
estan,is it so
ti,you
puedes,you may
ver,watch
hombre,man
vida,life
alguien,somebody
cosas,stuff
siempre,forever
hasta,until
ahi,there
ir,go
a(ny)os,years
antes,before
estar,be
ni,neither
poco,little bit
dia,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,worked
nosotros,us
parece,It seems
gente,people
sea,be
padre,dad
mira,look
mismo,same
dijo,said
nadie,nobody
quiere,wants
podria,might
hablar,speak
vas,you go
ellos,them
sr.,Mr.
tal,such
pasa,happens
fuera,outside
despues,after
han,they have
desde,since
dinero,money
mundo,world
claro,Clear
momento,moment
les,them
tener,have
estado,condition
otro,other
habia,there was
ma(ny)ana,morning
tenia,I had
madre,mother
vale,OK
lugar,place
haciendo,doing
donde,where
seguro,sure
sabe,knows
podemos,can
tus,your
espera,wait
nuevo,new
sido,been
cosa,stuff
hijo,son
alli,over there
menos,less
tipo,type
amigo,friend
gran,big
nuestro,our
mujer,women
mama,breast
luego,later
papa,father
dias,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,I said
oye,hears
gusta,like
queria,wanted
sera,will be
haber,to have
parte,part
todas,all
crees,You believe
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,should
realmente,Really
estas,are
aun,still
mio,Own
toda,all
hacerlo,do it
cada,every
visto,viewed
importa,It matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,know
hizo,made
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,late
problema,issue
hora,hour
cierto,certain
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,past
familia,family
estos,these
policia,police
deberia,should
ustedes,you guys
chica,girl
esos,those
chicos,Boys
cuenta,bill
haces,you do
todavia,yet
salir,go out
algun,some
vaya,wow
unos,some
veo,I see
amigos,friends
hermano,brother
pense,I thought
sabia,knew
cabeza,head
ah,ah
cari(ny)o,sweetie
digo,say
van,go
hombres,mens
buenas,good
somos,we are
cualquier,any
forma,form
mientras,While
lado,side
debo,I shall
seria,would
caso,case
pueden,may
pasó,He passed
primera,first
genial,cool
chico,guy
supuesto,supposed
hice,I made
pues,well
adiós,bye
muchas,many
personas,people
se(ny)ora,Ms
volver,return
esas,those
quiza,Maybe
contra,against
camino,road
durante,during
hablando,speaking
manera,way
muerto,dead
persona,person
rapido,Quick
cual,which
ayuda,help
historia,history
